parcel_id,address,acreage,struct_sqft,coverage_pct
89-18,166 UPPER COUNTY ROAD DP,1.99,1579596,1822.2
58-14,426 LOWER COUNTY ROAD DP,1.0496,801783,1753.7
132-2,169 GREAT WESTERN ROAD SD,0.27,168513,1432.8
75-52,10 SOUTH STREET DP,1.98,1193671,1384
223-2,59 ROUTE 6A DE,23.97,14208708,1360.8
17-45,61 OLD WHARF ROAD DP,7.7509,4417458,1308.4
89-44,10 CANDLEWOOD LANE DP,2.91,1522789,1201.3
18-104,112 OLD WHARF ROAD DP,1.49,761536,1173.3
19-28,154 OLD WHARF ROAD DP,1.5,690129,1056.2
20-4,242 OLD WHARF ROAD DP,6.77,3015496,1022.5
75-72,9 EDWARDS ROAD DP,1.14,460383,927.1
42-14,14 CALEB STREET DP,1.64,642077,898.8
192-1,432 OLD CHATHAM ROAD ED,4.2,1519005,830.3
90-32,212 UPPER COUNTY ROAD DP,0.9119,322638,812.2
65-24,428 MAIN STREET WD,0.68,239402,808.2
75-78,159 CENTER STREET DP,0.78,260233,765.9
330-7,683 ROUTE 6A DE,3.227,1059804,753.9
330-13,601-U-22 RTE 6A MARITIME LANDING DE,5.74,1846149,738.4
58-66,433 LOWER COUNTY ROAD DP,1.66,512074,708.2
41-33,41 CHASE AVENUE DP,0.597,179130,688.8
41-27,20 CHASE AVENUE DP,3.84,1098778,656.9
19-13,162 CAPTAIN CHASE ROAD DP,0.62,172567,639
36-97,177 LOWER COUNTY ROAD DP,1.82,505820,638
20-5,262 OLD WHARF ROAD DP,29.615,7824660,606.5
19-17,174 CAPTAIN CHASE ROAD DP,0.68,167800,566.5
89-26,190 UPPER COUNTY ROAD DP,0.5039,120811,550.4
35-94,126 LOWER COUNTY ROAD DP,0.8,188268,540.3
16-61,41 OLD WHARF ROAD DP,1.12,257473,527.7
19-22,194 CAPTAIN CHASE ROAD DP,0.66,141367,491.7
35-24,6 POLLY FISK LANE DP,0.76,162427,490.6
351-20,777 ROUTE 6A DE,1.18,245692,478
18-62,75 BEATEN ROAD DP,0.56,115983,475.5
140-18,434 ROUTE 134 SD,3.122,646297,475.2
58-49,91 DEPOT STREET DP,0.39,79163,466
65-41,371 MAIN STREET WD,1.09,212918,448.4
91-21,673 MAIN STREET DP,1.1911,231274,445.8
85-18,50 ROUTE 134 SD,1.53,287454,431.3
104-5,197 DIVISION STREET DP,0.49,88956,416.8
62-5,141 MAIN STREET WD,1.21,213839,405.7
40-47,405 OLD WHARF ROAD DP,1.79,304838,391
234-3,902 ROUTE 134 ED,3.5,592722,388.8
18-149,120 OLD WHARF ROAD DP,0.21,34264,374.6
146-7,290 GREAT WESTERN ROAD SD,1.029,158090,352.7
18-191,113 OLD WHARF ROAD DP,0.81,118809,336.7
59-61,465 LOWER COUNTY ROAD DP,0.6557,94842,332
90-52,221 UPPER COUNTY ROAD DP,0.84,116991,319.7
84-54,35 ROUTE 134 SD,1.27,168694,304.9
21-72,2 BEACH HILLS ROAD DP,0.29,37692,298.4
19-61,110 GLENDON ROAD DP,0.26,33361,294.6
21-31,271 SHAD HOLE ROAD DP,0.0275,3438,287.2
178-19,5 ATLANTIC AVENUE SD,0.7,81525,267.4
64-26,329 MAIN STREET WD,0.06,6963,266.4
39-32,128 SEA STREET DP,0.5,57668,264.8
19-27,140 OLD WHARF ROAD DP,0.27,29911,254.3
38-32,253 SHAD HOLE ROAD DP,0.66,71292,248
35-13,5 POLLY FISK LANE DP,0.28,29889,245.1
21-57,291 OLD WHARF ROAD DP,0.5142,54047,241.3
64-51,296 MAIN STREET WD,0.04,4175,239.7
64-75,294 MAIN STREET WD,0.04,4175,239.7
18-66,94 OLD WHARF ROAD DP,0.61,63366,238.5
18-5,37 OCEAN DRIVE DP,0.342,34707,233
47-18,34 SCHOOL STREET WD,0.64,64944,233
255-1,253 MAIN STREET DE,1.07,108413,232.6
40-52,9 CHASE AVENUE DP,0.5,50032,229.7
18-162,183 CAPTAIN CHASE ROAD DP,0.38,37115,224.2
189-59,9 SEA GRASS CIRCLE SD,3.34,322672,221.8
351-7,766 ROUTE 6A DE,2.66,249013,214.9
21-91,297 OLD WHARF ROAD DP,1.68,155255,212.2
90-68,651 MAIN STREET DP,0.13,11994,211.8
143-20,9 NEW VENTURE DRIVE SD,0.92,84167,210
59-80,65 INMAN ROAD DP,0.519,47341,209.4
91-20,683 ROUTE 28 DP,0.0758,6717,203.4
36-68,205 LOWER COUNTY ROAD DP,0.82,71630,200.5
34-121,49 LOWER COUNTY ROAD DP,0.52,44328,195.7
178-26,431 OLD CHATHAM ROAD SD,0.955,80057,192.5
75-30,143 DEPOT STREET DP,1.6,132940,190.7
35-173,101 LOWER COUNTY ROAD DP,1.0048,81475,186.2
39-82,30 UNION WHARF ROAD DP,0.16,12815,183.8
90-28,11 TERRYS LANE DP,1.08,85860,182.5
38-180,65 SEA STREET DP,0.25,19847,182.2
64-72,253 MAIN STREET WD,0.306,24140,181.1
39-77,25 UNION WHARF ROAD DP,0.18,14082,179.6
134-50,549 CENTER STREET DP,2.5,194031,178.2
19-58,111 GLENDON ROAD DP,0.33,25493,177.3
385-55,0-OFF CORPORATION ROAD DE,0.06,4565,174.6
47-22,79 SCHOOL STREET WD,1.07,77363,166
57-18,191 SEA STREET DP,0.82,57570,161.2
81-36,5 OLD MAIN STREET WD,0.81,56124,159.1
38-85,291 LOWER COUNTY ROAD DP,0.4901,32791,153.6
71-63,71 SHAD HOLE ROAD DP,0.23,15146,151.2
85-28,38 ROUTE 134 SD,1.0014,64882,148.7
18-190,125 OLD WHARF ROAD DP,0.34,21856,147.6
84-53,21 ROUTE 134 SD,0.8,51396,147.5
34-134,73 LOWER COUNTY ROAD DP,0.52,32770,144.7
47-5,152 SCHOOL STREET WD,0.85,52969,143.1
64-52,292 MAIN STREET WD,0.07,4175,136.9
75-20,157 DEPOT STREET DE,0.46,26755,133.5
41-54,49 INMAN ROAD DP,0.13,7466,131.8
71-3,125 MAIN STREET DP,0.9795,55934,131.1
322-4,30 DR BOTTERO ROAD DE,0.83,45907,127
19-53,91 GLENDON ROAD DP,0.48,26421,126.4
142-58,22-U-6 BERTRAM AVENUE SD,0.9206,50621,126.2
87-5,254 MAIN STREET DP,0.67,36776,126
33-2,54 SWAN RIVER ROAD WD,1.19,65195,125.8
39-54,75 UNION WHARF ROAD DP,0.155,8381,124.1
344-109,110 TAUNTON AVENUE DE,0.9183,49449,123.6
345-69,35 TAUNTON AVENUE DE,0.02,1075,123.4
146-8,290 GREAT WESTERN ROAD SD,0.39,20933,123.2
409-16,65-OFF SESUIT ROAD ED,0.06,3217,123.1
344-92,25 O K AVENUE DE,0.06,3211,122.9
40-101,49 DEPOT STREET DP,0.15,7937,121.5
74-66,451 MAIN STREET DP,0.46,24122,120.4
64-25,323 MAIN STREET WD,0.19,9815,118.6
89-13,2 CLIPPER LANE DP,0.27,13914,118.3
376-3,1408 ROUTE 6A ED,0.25,12819,117.7
81-14,568 MAIN STREET WD,0.2398,12294,117.7
55-178,155 SHAD HOLE ROAD DP,0.41,21000,117.6
66-2,3 ALLAIN WAY WD,0.1725,8825,117.4
86-3,130 MAIN STREET DP,1.11,55815,115.4
290-15,1146 ROUTE 134 ED,13.87,692658,114.6
