table,column_name,short_name,description
parcels,parcel_id,Parcel ID,
parcels,join_status,Join Status,
parcels,backbone_source,Backbone Source,
parcels,condo_units,Condo Units,
parcels,owner_name,Owner,
parcels,owner_category,Owner Category,
parcels,locno,Street No,
parcels,locst,Street,
parcels,village,Village,
parcels,site_addr,Site Address,
parcels,use_code_norm,Use Code,
parcels,use_code_desc,Use Description,
parcels,property_class,Property Class,
parcels,is_public,Is Public,
parcels,billingacres,Acres,
parcels,totalapprvalue,Appraised Value,
parcels,zonedesc,Zone,
layer_assessor,parcel_id,Parcel ID,
layer_assessor,unit_key,Unit Key,
layer_assessor,key,Assessor Key,
layer_assessor,year,Tax Year,
layer_assessor,map,Map,
layer_assessor,block,Block,
layer_assessor,parcel,Parcel,
layer_assessor,extension,Extension,
layer_assessor,propertytype,Property Type,
layer_assessor,district,District,
layer_assessor,locno,Street No,
layer_assessor,localpha,Street Alpha,
layer_assessor,locst,Street,
layer_assessor,village,Village,
layer_assessor,name1,Owner 1,
layer_assessor,name2,Owner 2,
layer_assessor,mstrt,Mail Street,
layer_assessor,mstr2,Mail Street 2,
layer_assessor,mcity,Mail City,
layer_assessor,mstat,Mail State,
layer_assessor,mzipc,Mail ZIP,
layer_assessor,mcountry,Mail Country,
layer_assessor,stateclass,State Class,
layer_assessor,stateclassdesc,State Class Desc,
layer_assessor,totaltaxablevalue,Total Taxable Value,
layer_assessor,totalapprvalue,Total Appraised Value,
layer_assessor,totallandvalue,Land Value,
layer_assessor,totalallbldgsvalue,Buildings Value,
layer_assessor,totaldetachedvalue,Detached Value,
layer_assessor,grantorlast,Last Grantor,
layer_assessor,saledatelast,Last Sale Date,
layer_assessor,saletypelast,Last Sale Type,
layer_assessor,salepricelast,Last Sale Price,
layer_assessor,booklast,Last Book,
layer_assessor,pagelast,Last Page,
layer_assessor,certificatelast,Last Certificate,
layer_assessor,grantorprev,Prev Grantor,
layer_assessor,saledateprev,Prev Sale Date,
layer_assessor,saletypeprev,Prev Sale Type,
layer_assessor,salepriceprev,Prev Sale Price,
layer_assessor,bookprev,Prev Book,
layer_assessor,pageprev,Prev Page,
layer_assessor,certificateprev,Prev Certificate,
layer_assessor,billingacres,Acres,
layer_assessor,zonedesc,Zone,
layer_assessor,buildings,Buildings,
layer_assessor,gisid,GIS ID,
layer_assessor,yearbuilt,Year Built,
layer_assessor,effectyear,Effective Year,
layer_assessor,condfact,Condition Factor,
layer_assessor,netsf,Net SF,
layer_assessor,style,Style,
layer_assessor,framingtype,Framing Type,
layer_assessor,quality,Quality,
layer_assessor,wallheight,Wall Height,
layer_assessor,foundation,Foundation,
layer_assessor,exterior,Exterior,
layer_assessor,roofshape,Roof Shape,
layer_assessor,roofcover,Roof Cover,
layer_assessor,floorcover,Floor Cover,
layer_assessor,interior,Interior,
layer_assessor,hvac,HVAC,
layer_assessor,fuel,Fuel,
layer_assessor,private_rd,Private Road,
layer_assessor,historic,Historic,
layer_assessor,generator,Generator,
layer_assessor,use,Use Code (raw),
layer_assessor,stories,Stories,
layer_assessor,rooms,Rooms,
layer_assessor,bedrooms,Bedrooms,
layer_assessor,bathrooms,Bathrooms,
layer_assessor,fixtures,Fixtures,
layer_assessor,units,Units,
layer_assessor,_source_file,Source File,
layer_assessor,_loaded_at,Loaded At,
layer_massgis,parcel_id,Parcel ID,
layer_massgis,objectid,Object ID,
layer_massgis,loc_id,Location ID,
layer_massgis,poly_type,Polygon Type,
layer_massgis,map_no,Map Number,
layer_massgis,source,Source,
layer_massgis,plan_id,Plan ID,
layer_massgis,last_edit,Last Edit,
layer_massgis,bnd_chk,Boundary Check,
layer_massgis,no_match,No Match,
layer_massgis,town_id,Town ID,
layer_massgis,prop_id,Property ID,
layer_massgis,bldg_val,Building Value,
layer_massgis,land_val,Land Value,
layer_massgis,other_val,Other Value,
layer_massgis,total_val,Total Value,
layer_massgis,fy,Fiscal Year,
layer_massgis,lot_size,Lot Size,
layer_massgis,lot_units,Lot Units,
layer_massgis,ls_date,Last Sale Date,
layer_massgis,ls_price,Last Sale Price,
layer_massgis,ls_book,Sale Book,
layer_massgis,ls_page,Sale Page,
layer_massgis,use_code,Use Code,
layer_massgis,site_addr,Site Address,
layer_massgis,addr_num,Address Number,
layer_massgis,full_str,Full Street,
layer_massgis,location,Location,
layer_massgis,city,City,
layer_massgis,zip,ZIP,
layer_massgis,owner1,Owner,
layer_massgis,own_addr,Owner Address,
layer_massgis,own_city,Owner City,
layer_massgis,own_state,Owner State,
layer_massgis,own_zip,Owner ZIP,
layer_massgis,own_co,Owner Country,
layer_massgis,reg_id,Registry ID,
layer_massgis,zoning,Zoning,
layer_massgis,year_built,Year Built,
layer_massgis,bld_area,Building Area,
layer_massgis,units,Units,
layer_massgis,res_area,Residential Area,
layer_massgis,style,Style,
layer_massgis,num_rooms,Rooms,
layer_massgis,stories,Stories,
layer_massgis,globalid,Global ID,
layer_massgis,shape__area,Shape Area,
layer_massgis,shape__length,Shape Length,
layer_massgis,_source_file,Source File,
layer_massgis,_loaded_at,Loaded At,
layer_soils,parcel_id,Parcel ID,
